Date,MBK_open,MBK_high,MBK_low,MBK_close,MBK_volume
2020-03-02,304,307,288.2,296.8,40944
2020-03-03,305,335.4,298.2,330.4,25817
2020-03-04,331,331,314,317.2,29914
2020-03-05,325,325,306,309.2,13766
2020-03-06,300.6,305,295,301.8,21850
2020-03-09,296.6,296.6,263.6,263.6,28741
2020-03-10,263.6,268.8,241.4,243.8,30397
2020-03-11,255.6,255.6,225,229.6,41848
2020-03-12,213,217.6,192.1,192.1,38145
2020-03-13,208,212.8,186.5,208.4,78690
2020-03-16,210,218.8,188,198.2,56682
2020-03-17,208.4,241.6,200,233.4,52285
2020-03-18,238,242.4,220.2,242,29780
2020-03-19,244.8,261.2,230.2,241.4,45853
2020-03-20,255,259,242,248.4,78195
2020-03-23,248.4,248.4,224,224,42703
2020-03-24,237,237,216.8,225,53732
2020-03-25,233,233.2,212,219.4,31776
2020-03-26,219.4,230.2,219,225.6,18338
2020-03-27,231,231,216.6,222,40281
2020-03-30,225,226.6,216,224.4,24145
2020-03-31,221,229.4,220,221.8,27771
2020-04-01,218.6,220.4,212.2,212.4,43986
2020-04-02,214.2,214.2,206.2,213.6,36009
2020-04-03,209.4,217.6,203.4,217.6,36541
2020-04-06,222,228.8,217.6,228,31769
2020-04-07,230,239.8,228.4,229.6,35572
2020-04-08,231,234.6,218,224.4,32026
2020-04-09,224,230,223.4,229,47953
2020-04-14,233.6,236.2,232,235,37159
2020-04-15,242.4,242.6,223,223,30179
2020-04-16,227.4,229,218.2,222.4,45835
2020-04-17,228,228,217,217.8,20256
2020-04-20,220,222,209,217.6,38211
2020-04-21,218,218,208,208,21081
2020-04-22,210.2,220.8,208.2,216.2,22125
2020-04-23,219,220.6,216.2,219,19397
2020-04-24,219.8,219.8,212,212,11822
2020-04-27,216.2,217,202.2,202.4,23386
2020-04-28,202.2,209,197.1,201.4,48096
2020-04-29,201.4,216.4,201.4,214.4,35501
2020-04-30,217,221,214,219,51921
2020-05-04,220,220,204.4,204.4,27037
2020-05-05,207.4,208,198,198,31713
2020-05-06,200,200.2,190.5,190.5,44962
2020-05-07,196,197.5,188.2,188.2,20337
2020-05-08,192,192.5,188.3,188.3,14338
2020-05-11,191,191.5,181,184.5,25796
2020-05-12,185,187.4,181,184.6,31154
2020-05-13,184.6,194.8,184.6,190.3,33725
2020-05-14,189.5,190.6,180,183.6,21083
2020-05-15,186.1,188.6,182.3,182.3,24955
2020-05-18,183.6,187.9,181.5,185.9,24307
2020-05-19,189.6,189.6,183.4,186.8,18452
2020-05-20,187,189,184.3,187.2,18841
2020-05-21,187.2,188,185,185,14379
2020-05-22,185,187.2,181.8,183.9,22785
2020-05-25,186.2,187.6,183.2,184,21075
2020-05-26,186,187.1,185.5,186,123863
2020-05-27,188.6,214.2,187.4,207.8,213310
2020-05-28,213,226.4,204.4,212,144937
2020-05-29,210,215.4,201.8,215.4,138660
2020-06-01,218,224.4,210.4,213.6,41165
2020-06-02,215,216.8,211.2,215.6,29882
2020-06-03,218,223.8,216.8,221.8,46418
2020-06-04,223,226.4,216.4,226.2,59775
2020-06-05,227,248,227,247.6,85919
2020-06-08,251.6,267.8,250,257.6,115155
2020-06-09,262.4,267.4,238,254.8,81032
2020-06-10,252,257,246,251.4,40492
2020-06-12,233,247.8,225,240,52122
2020-06-15,238.2,239,231.2,237.2,39732
2020-06-16,246,249.2,240,244.2,38902
2020-06-17,244.2,247.6,240.8,242.2,29940
2020-06-18,244.6,246.8,236.6,244.8,26854
2020-06-19,245.2,246.8,240.8,242.4,58757
2020-06-22,244.6,244.6,235.6,236.4,23641
2020-06-23,242,245.2,236.6,244.6,27446
2020-06-24,245,245,237.6,241.2,14326
2020-06-25,241,243.6,236.4,240.8,23871
2020-06-26,241.6,244.4,237,237.6,20064
2020-06-29,236,241.2,233.4,238.4,25211
2020-06-30,239,239.2,229,230,32873
