Date,PEO_open,PEO_high,PEO_low,PEO_close,PEO_volume
2020-03-02,89.9,92.72,87.16,89.26,756361
2020-03-03,90.2,95.28,90.02,94.78,998119
2020-03-04,94.4,95.88,93.4,94.14,527940
2020-03-05,95.32,95.74,92.66,92.9,515614
2020-03-06,91.9,92.4,88.82,89.68,940230
2020-03-09,85,86,80.54,82.3,833133
2020-03-10,83,83.98,80,80.26,757085
2020-03-11,81.44,81.86,75.02,75.24,1026635
2020-03-12,70,70.24,60.5,60.5,1041792
2020-03-13,62.5,67.32,61,63.68,2007479
2020-03-16,61,61,54.9,55.76,1552789
2020-03-17,57.78,60.38,52.8,55.94,2193015
2020-03-18,54,56.76,52.32,52.74,1574306
2020-03-19,52.6,54.54,51.86,53,1672233
2020-03-20,55,58.2,54.6,56.8,2146807
2020-03-23,55,55.26,53,53.1,919061
2020-03-24,55.64,56.18,53.86,54.5,971677
2020-03-25,57,57.9,53.3,55.2,1144492
2020-03-26,54.88,57.5,52.3,57,875323
2020-03-27,57.46,58.2,54.6,55.32,781913
2020-03-30,56,56.16,53.88,56,505762
2020-03-31,56.3,57.26,55,56.14,887961
2020-04-01,55.2,55.8,54.02,54.02,866353
2020-04-02,54.76,54.8,53.04,54.02,1080461
2020-04-03,53.42,53.64,52.52,53.4,724173
2020-04-06,54.8,57.3,54.52,57.02,995270
2020-04-07,58,62.8,57.8,61.32,1906741
2020-04-08,61.04,62.38,54.92,55.5,2718322
2020-04-09,56.9,57.2,54.7,55.76,2924387
2020-04-14,57,57.1,55.5,56.58,3736341
2020-04-15,57.5,57.58,54.02,54.3,1516227
2020-04-16,55,55.06,53.28,53.78,1231148
2020-04-17,54.5,54.96,53.8,54.54,1039523
2020-04-20,54.9,54.94,53.5,54.94,919738
2020-04-21,54.7,54.7,52.5,52.5,991915
2020-04-22,52.5,53,50.7,51.3,2302049
2020-04-23,51.72,51.72,49.2,50.3,2918410
2020-04-24,49.8,50.14,48.1,49.31,2471717
2020-04-27,50.1,50.16,47.62,48,3929485
2020-04-28,47.97,49.81,47.1,48.92,2590260
2020-04-29,49.01,52,48.94,51.82,3044384
2020-04-30,52.4,53.26,51.44,51.98,2549729
2020-05-04,51,51,49.62,49.95,1004159
2020-05-05,50.5,50.84,49.64,50,1195310
2020-05-06,50.48,50.58,49.06,49.25,1799721
2020-05-07,49.46,50.4,48.67,49.8,1016169
2020-05-08,50.7,50.9,49.8,49.91,407054
2020-05-11,50.32,50.42,48.55,48.55,731552
2020-05-12,49.86,51.28,48.26,51.28,2031328
2020-05-13,50.7,52.8,50.44,50.9,2177259
2020-05-14,50.5,50.5,48.7,49.65,1305422
2020-05-15,50,50.6,49.7,50.02,1152284
2020-05-18,50.54,51.76,49.9,51.7,1513130
2020-05-19,52.3,52.44,51.2,51.66,1790812
2020-05-20,51.48,51.78,50.82,51.44,1391652
2020-05-21,51.4,52,51.02,51.8,1212284
2020-05-22,51.1,51.1,50.02,50.66,1478617
2020-05-25,51.22,51.5,50.62,51.5,247616
2020-05-26,51.9,53.46,51.7,53.46,2678740
2020-05-27,53.48,56.28,53,55.42,5454690
2020-05-28,56,57.72,52.7,53.4,5818186
2020-05-29,52.52,52.94,51.1,52.56,5824156
2020-06-01,53.34,53.96,52.3,53.02,1282197
2020-06-02,53.28,53.32,51.86,52.4,1981070
2020-06-03,52.8,54.48,52.3,54.48,2392076
2020-06-04,54.5,55.08,53.62,55,2148465
2020-06-05,55.5,57.48,55.16,57.3,2611298
2020-06-08,57.48,60.3,57.1,60,2841645
2020-06-09,60.8,61.64,57.56,58.14,2785996
2020-06-10,58.2,58.3,56.12,56.8,1190290
2020-06-12,54,55.58,53.3,54.06,2994005
2020-06-15,53.5,53.5,52.14,52.54,1673838
2020-06-16,54.2,56.8,53.92,56.1,1787600
2020-06-17,56.3,56.78,54.6,55.1,1098285
2020-06-18,54.86,55.72,54.28,55.22,914308
2020-06-19,55.48,55.5,54.52,54.94,1413110
2020-06-22,54.64,54.7,53.62,53.84,848218
2020-06-23,54.4,56.7,54.16,56.4,974809
2020-06-24,56.44,56.7,54.6,54.6,1026185
2020-06-25,54.3,54.36,53.12,54.2,1766142
2020-06-26,54.68,54.68,52.82,52.82,600583
2020-06-29,52.8,53.44,51.72,53.26,666172
2020-06-30,53.34,53.94,52.26,53.84,1136512
