Date,SPL_open,SPL_high,SPL_low,SPL_close,SPL_volume
2020-03-02,260.4,261.8,252,260,108224
2020-03-03,260,279,258,272.2,112138
2020-03-04,268,276.4,268,274,53365
2020-03-05,270,276.4,265.2,266.8,58814
2020-03-06,261.4,263.4,248,252.2,74158
2020-03-09,240.6,242,222.8,228,121099
2020-03-10,228,232.4,217.6,221.4,81951
2020-03-11,221.4,225,205.8,208.6,78601
2020-03-12,193.3,194.9,172.1,172.1,101018
2020-03-13,177,191.3,164.7,186.5,190412
2020-03-16,180,180,157.1,168.2,187423
2020-03-17,170,205.6,170,195.6,163734
2020-03-18,193,194.3,176.2,190.6,89065
2020-03-19,187.4,210,184.2,210,87756
2020-03-20,219.4,241.2,199.9,204,275885
2020-03-23,190,194.4,178.6,179.4,147013
2020-03-24,190,190.9,175,175.2,148492
2020-03-25,186,186,162.9,175.9,187923
2020-03-26,172.4,177.7,168.5,177.7,107243
2020-03-27,178,179,171,173.9,100665
2020-03-30,172.7,174.1,169,174.1,57558
2020-03-31,175,178.3,171.2,173.5,111564
2020-04-01,170.1,172.3,165,165.5,117808
2020-04-02,165,165.4,153.5,157.9,201633
2020-04-03,154.7,156.9,148.2,152.5,221640
2020-04-06,157.5,173.8,157.5,172.9,133718
2020-04-07,173.8,181.3,173.8,176.6,149285
2020-04-08,177,178.8,164,165.5,181933
2020-04-09,165.8,174,163.2,167.8,145630
2020-04-14,174.4,177,168.8,172.5,168827
2020-04-15,174,174,160,160.7,196997
2020-04-16,162.5,162.9,158.2,159,169289
2020-04-17,162,162.8,156,157,129072
2020-04-20,157,160.3,154.1,158.7,81640
2020-04-21,156.5,158.1,151.9,152,89688
2020-04-22,154.8,154.8,150.5,153,104095
2020-04-23,154.3,157,148.3,150,150771
2020-04-24,149,150.1,145.3,145.3,124763
2020-04-27,148.2,152,143.5,145.2,170789
2020-04-28,144,152.9,144,150.4,196374
2020-04-29,152.9,167.7,148.3,166,162042
2020-04-30,166,169.9,159.6,163,155010
2020-05-04,159.7,159.7,151,151.3,119249
2020-05-05,152.9,154.2,148.1,149.5,71597
2020-05-06,150.1,151.9,147.2,148,84240
2020-05-07,149.4,150.9,145.6,148,77551
2020-05-08,150.8,151.8,148.6,151,45075
2020-05-11,153,153,145.6,145.7,48755
2020-05-12,146.7,152.8,141.1,150.8,179937
2020-05-13,149,157,147.1,155.5,112122
2020-05-14,152.4,158.8,148.4,151.4,148451
2020-05-15,152.8,153.5,146,148.2,86035
2020-05-18,148.6,154,145.8,154,144098
2020-05-19,157,157,149.9,152.2,125427
2020-05-20,151.8,155.5,150.2,154.7,87964
2020-05-21,152,154.7,152,152.9,53546
2020-05-22,152.6,153.1,148.3,149.1,71719
2020-05-25,151.3,152.8,149,152.1,34078
2020-05-26,154,166,152.3,166,183786
2020-05-27,167,178.2,163.8,170.8,264025
2020-05-28,172.9,181.7,160,169.1,441258
2020-05-29,165,165.2,161.2,162.8,356754
2020-06-01,166,170,161.6,165,84425
2020-06-02,166.5,167.1,162.5,163.6,167649
2020-06-03,166.8,171.5,163.6,169.5,136168
2020-06-04,170,177.7,166.2,177.6,181805
2020-06-05,179,185.8,179,184.8,197174
2020-06-08,184.8,194.4,182.7,191.9,184298
2020-06-09,195,196.4,184.5,187,123914
2020-06-10,187,187.3,180.5,182,123193
2020-06-12,172,178,169.1,173.7,131028
2020-06-15,169,174.7,168,173.5,132776
2020-06-16,179,183.3,176,179.8,89331
2020-06-17,180.2,183.3,178.5,182.6,116530
2020-06-18,183.2,183.2,175.8,177.1,89551
2020-06-19,179,182.2,175.5,181.3,376688
2020-06-22,181,185.6,176,182.9,111318
2020-06-23,185.7,190.4,183.7,186.8,93974
2020-06-24,186.8,188.9,180.4,180.4,50492
2020-06-25,179,186,174.8,184,46773
2020-06-26,182,183.8,176.6,178,59409
2020-06-29,177.6,183.4,172.2,180.1,52281
2020-06-30,180,181,173.2,175.4,52971
